dataset,track,model,proteins,stratification,stratum,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID2,disorder_nox,PUNCH2-Light Released-13,25,known_label_disorder_fraction,"(0.30,0.60]",12610,5733,6877,0.45463917525773195,0.5075541817884853,0.05291500653075337,0.17254997155058002,0.2840180096535607,0.5610613455526966,0.23053132434575735,0.7703610079785133,0.5528294594866948,4876,4827,2050,857,0.8328604708774634,0.7476158170369588,0.7477430759391819,0.7717139432680783
CAID2,disorder_pdb,A10-locked,105,protein_length,201-500,27110,10896,16214,0.4019181113980081,0.40554977334716674,0.003631661949158649,0.05964190699581446,0.1044121319570642,0.20992254887144096,0.07746219107340464,0.9021891010712623,0.8383492297836793,9685,15325,889,1211,0.972096697515988,0.9655354009019095,0.9655368497944726,0.9028650011460005
CAID2,disorder_pdb,LoRA-DR-Suite 650M,105,protein_length,201-500,27110,10896,16214,0.4019181113980081,0.41796819326855,0.01605008187054191,0.08712458244637308,0.17815788940600483,0.29183552748223807,0.11722611582441904,0.8538178472861087,0.7559799805094642,9281,14651,1563,1615,0.9448276590886904,0.9198877621214055,0.9198203926730565,0.8543134816452489
CAID2,disorder_pdb,PUNCH2-Light Paper-8,105,protein_length,201-500,27110,10896,16214,0.4019181113980081,0.2970671283296238,-0.1048509830683843,0.0940464621049635,0.17141073843303212,0.32557360664635904,0.10955367023238657,0.8496050232934981,0.7751048874310967,8389,15751,463,2507,0.9572769322282171,0.9465205435536395,0.946523085342102,0.8747538581306956
CAID2,disorder_pdb,PUNCH2-Light Released-13,105,protein_length,201-500,27110,10896,16214,0.4019181113980081,0.31781636968623017,-0.08410174171177792,0.08261035589344663,0.1517556298773257,0.2944739014406781,0.10114348948727407,0.8627902321857485,0.7918246323964448,8621,15747,467,2275,0.9601220809159141,0.9500641163096497,0.9500665123814896,0.8859004187994415
CAID2,disorder_pdb,A10-locked,86,protein_length,1001+,53700,9882,43818,0.1840223463687151,0.22593059020176962,0.041908243833054526,0.06155903660353043,0.11328599213934133,0.22703401126633388,0.07573556797020484,0.7966398319915995,0.7501932833840073,7966,41667,2151,1916,0.9397396547968386,0.8776771897811207,0.8776812816057662,0.8174158830244062
CAID2,disorder_pdb,LoRA-DR-Suite 650M,86,protein_length,1001+,53700,9882,43818,0.1840223463687151,0.16175273612331842,-0.02226961024539667,0.09790633265198069,0.18179164435497355,0.3179512496139177,0.14446927374301677,0.502309468822171,0.44677213468169974,3915,42027,1791,5967,0.879264022157335,0.6478007088675884,0.6478395394330689,0.6548072495918966
CAID2,disorder_pdb,PUNCH2-Light Paper-8,86,protein_length,1001+,53700,9882,43818,0.1840223463687151,0.16359420662559218,-0.02042813974312291,0.06361041214443243,0.12272305897856425,0.22732128724281786,0.07931098696461825,0.7663612924461025,0.7227222493107194,6985,42456,1362,2897,0.9332852625608592,0.8368828947450413,0.836892363080577,0.7714015946286195
CAID2,disorder_pdb,PUNCH2-Light Released-13,86,protein_length,1001+,53700,9882,43818,0.1840223463687151,0.17775383149363128,-0.006268514875083814,0.061146612665622935,0.11865773049058845,0.22042026532068698,0.0761266294227188,0.7818104184457728,0.7375003632605931,7324,42288,1530,2558,0.9340897264797964,0.8429860995397831,0.8429957926612309,0.7821050953721905
CAID2,disorder_pdb,A10-locked,112,protein_length,501-1000,45032,13230,31802,0.29379108189731745,0.32863257683880354,0.034841494941486084,0.058609132225109606,0.10389170440505242,0.22237076938978187,0.07086072126487832,0.8814944108144243,0.8312295600923588,11868,29973,1829,1362,0.9574600312981548,0.9395606480253814,0.9395633799803017,0.8855774348057477
