dataset,track,true_state,segment_length_bin,model,proteins,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID2,disorder_pdb,disordered,31-100,PUNCH2-Light Paper-8,130,8084,8084,0,1.0,0.594177303745856,-0.405822696254144,0.2643787546484098,0.40582269625414397,0.8707310466665888,0.31877783275606136,0.8103892281656979,0.0,5507,0,0,2577,,,,
CAID2,disorder_pdb,disordered,31-100,PUNCH2-Light Released-13,130,8084,8084,0,1.0,0.6422751007923182,-0.3577248992076818,0.23001346739898815,0.3577248992076818,0.7823072112994625,0.28364670954972787,0.8347387387387388,0.0,5791,0,0,2293,,,,
CAID2,disorder_pdb,ordered,101+,A10-locked,177,77259,0,77259,0.0,0.06618904905867795,0.06618904905867795,0.02226425202029277,0.06618904905867795,0.0966709775585296,0.024993851848975523,0.0,0.0,0,75328,1931,0,,,,
CAID2,disorder_pdb,ordered,101+,LoRA-DR-Suite 650M,177,77259,0,77259,0.0,0.09952491471412263,0.09952491471412263,0.03507682295378133,0.09952491471412263,0.13482733582717,0.04372306139090591,0.0,0.0,0,73881,3378,0,,,,
CAID2,disorder_pdb,ordered,101+,PUNCH2-Light Paper-8,177,77259,0,77259,0.0,0.041381195379211484,0.041381195379211484,0.009207836358922606,0.041381195379211484,0.04954273197195599,0.008814507047722596,0.0,0.0,0,76578,681,0,,,,
CAID2,disorder_pdb,ordered,101+,PUNCH2-Light Released-13,177,77259,0,77259,0.0,0.04415583268053301,0.04415583268053301,0.010726626877943873,0.04415583268053301,0.053886460410124945,0.011299654409195045,0.0,0.0,0,76386,873,0,,,,
CAID2,disorder_pdb,ordered,1-15,A10-locked,42,565,0,565,0.0,0.600915183298938,0.600915183298938,0.5197193924254483,0.600915183298938,2.1142159554202156,0.6247787610619469,0.0,0.0,0,212,353,0,,,,
CAID2,disorder_pdb,ordered,1-15,LoRA-DR-Suite 650M,42,565,0,565,0.0,0.4833673366211327,0.4833673366211327,0.34147835939978205,0.4833673366211327,1.0163034123788481,0.4920353982300885,0.0,0.0,0,287,278,0,,,,
CAID2,disorder_pdb,ordered,1-15,PUNCH2-Light Paper-8,42,565,0,565,0.0,0.4209132312637168,0.4209132312637168,0.30229633711787424,0.4209132312637168,0.9703316035044136,0.44601769911504424,0.0,0.0,0,313,252,0,,,,
CAID2,disorder_pdb,ordered,1-15,PUNCH2-Light Released-13,42,565,0,565,0.0,0.4451983234238938,0.4451983234238938,0.336562515209859,0.4451983234238938,1.089852263569168,0.4672566371681416,0.0,0.0,0,301,264,0,,,,
CAID2,disorder_pdb,ordered,16-30,A10-locked,55,1419,0,1419,0.0,0.3960918194773855,0.3960918194773855,0.2990718642111553,0.3960918194773855,1.0939241861223543,0.3544749823819591,0.0,0.0,0,916,503,0,,,,
CAID2,disorder_pdb,ordered,16-30,LoRA-DR-Suite 650M,55,1419,0,1419,0.0,0.34977244670530655,0.34977244670530655,0.22917975689591985,0.34977244670530655,0.6754551423232235,0.3347427766032417,0.0,0.0,0,944,475,0,,,,
CAID2,disorder_pdb,ordered,16-30,PUNCH2-Light Paper-8,55,1419,0,1419,0.0,0.2095238412107822,0.2095238412107822,0.09845828834319012,0.2095238412107822,0.2957602355536355,0.18252290345313602,0.0,0.0,0,1160,259,0,,,,
CAID2,disorder_pdb,ordered,16-30,PUNCH2-Light Released-13,55,1419,0,1419,0.0,0.22776252319823823,0.22776252319823823,0.12545557710751942,0.22776252319823823,0.35749980341552096,0.21634954193093728,0.0,0.0,0,1112,307,0,,,,
CAID3,disorder_nox,disordered,1-15,A10-locked,34,481,481,0,1.0,0.5893126254620166,-0.41068737453798343,0.30895847025462875,0.4106873745379834,1.0648020531053115,0.3659043659043659,0.7760814249363868,0.0,305,0,0,176,,,,
CAID3,disorder_nox,disordered,1-15,LoRA-DR-Suite 650M,34,481,481,0,1.0,0.5316467517696466,-0.4683532482303534,0.34288330524363914,0.4683532482303534,1.0832640591114682,0.4282744282744283,0.7275132275132276,0.0,275,0,0,206,,,,
CAID3,disorder_nox,disordered,1-15,PUNCH2-Light Paper-8,34,481,481,0,1.0,0.37169035528336797,-0.6283096447166321,0.48739054045095165,0.628309644716632,1.5471329901976145,0.6444906444906445,0.5245398773006135,0.0,171,0,0,310,,,,
CAID3,disorder_nox,disordered,1-15,PUNCH2-Light Released-13,34,481,481,0,1.0,0.40048555475135134,-0.5995144452486487,0.4609597534673,0.5995144452486486,1.4666634788181152,0.6029106029106029,0.5684523809523809,0.0,191,0,0,290,,,,
CAID3,disorder_nox,disordered,16-30,A10-locked,54,1307,1307,0,1.0,0.7221322635853864,-0.2778677364146136,0.17483189832720153,0.2778677364146136,0.5406629003808033,0.25478194338179033,0.8540113985094256,0.0,974,0,0,333,,,,
CAID3,disorder_nox,disordered,16-30,LoRA-DR-Suite 650M,54,1307,1307,0,1.0,0.6246087104501148,-0.3753912895498852,0.2469353466827918,0.37539128954988527,0.7656759128518289,0.342769701606733,0.7931671283471837,0.0,859,0,0,448,,,,
CAID3,disorder_nox,disordered,16-30,PUNCH2-Light Paper-8,54,1307,1307,0,1.0,0.4548008603349656,-0.5451991396650344,0.3937532140767654,0.5451991396650344,1.2635388186337284,0.5225707727620506,0.6462972553081305,0.0,624,0,0,683,,,,
CAID3,disorder_nox,disordered,16-30,PUNCH2-Light Released-13,54,1307,1307,0,1.0,0.5030754603289976,-0.49692453967100236,0.35288692919754655,0.4969245396710023,1.1575758346622451,0.46059678653404745,0.7007952286282306,0.0,705,0,0,602,,,,
CAID3,disorder_nox,ordered,16-30,A10-locked,24,589,0,589,0.0,0.7913026958071308,0.7913026958071308,0.7082254929918997,0.7913026958071308,2.6918033548620612,0.8455008488964346,0.0,0.0,0,91,498,0,,,,
CAID3,disorder_nox,ordered,16-30,LoRA-DR-Suite 650M,24,589,0,589,0.0,0.6108275848251272,0.6108275848251272,0.4491313115352317,0.6108275848251272,1.2916990511848847,0.7096774193548387,0.0,0.0,0,171,418,0,,,,
CAID3,disorder_nox,ordered,16-30,PUNCH2-Light Paper-8,24,589,0,589,0.0,0.5908961297932088,0.5908961297932088,0.46064454377583886,0.5908961297932088,1.5527296821796037,0.6960950764006791,0.0,0.0,0,179,410,0,,,,
CAID3,disorder_nox,ordered,16-30,PUNCH2-Light Released-13,24,589,0,589,0.0,0.6180263092480476,0.6180263092480476,0.5031874676121019,0.6180263092480476,1.7385066819024386,0.6893039049235993,0.0,0.0,0,183,406,0,,,,
CAID3,disorder_nox,ordered,31-100,A10-locked,77,6272,0,6272,0.0,0.3771043369882972,0.3771043369882972,0.27065745721277645,0.3771043369882972,1.0381248230860478,0.3405612244897959,0.0,0.0,0,4136,2136,0,,,,
CAID3,disorder_nox,ordered,31-100,LoRA-DR-Suite 650M,77,6272,0,6272,0.0,0.36653047504430486,0.36653047504430486,0.25676761489107164,0.36653047504430486,0.8571288263393649,0.3413584183673469,0.0,0.0,0,4131,2141,0,,,,
CAID3,disorder_nox,ordered,31-100,PUNCH2-Light Paper-8,77,6272,0,6272,0.0,0.21105460360361927,0.21105460360361927,0.12429792671273802,0.21105460360361927,0.3991543232425978,0.19786352040816327,0.0,0.0,0,5031,1241,0,,,,
CAID3,disorder_nox,ordered,31-100,PUNCH2-Light Released-13,77,6272,0,6272,0.0,0.22249648377547832,0.22249648377547832,0.1404018441029757,0.22249648377547832,0.452666398620145,0.20360331632653061,0.0,0.0,0,4995,1277,0,,,,
CAID3,disorder_nox,disordered,101+,A10-locked,81,19608,19608,0,1.0,0.9414860867803708,-0.05851391321962918,0.03758918851128945,0.05851391321962924,0.1280310864099904,0.0474296205630355,0.9757091364989813,0.0,18678,0,0,930,,,,
CAID3,disorder_nox,disordered,101+,LoRA-DR-Suite 650M,81,19608,19608,0,1.0,0.7409613139608139,-0.2590386860391861,0.15114648062878475,0.25903868603918606,0.4639034558205894,0.22648918808649532,0.872293314162473,0.0,15167,0,0,4441,,,,
