dataset,track,scope,stratum,proteins,first_model,second_model,residues,score_pearson,score_spearman,mean_absolute_score_difference,threshold_disagreement_residues,threshold_disagreement_rate,both_correct,a10_only_correct,comparator_only_correct,both_wrong,both_correct_rate,a10_only_correct_rate,comparator_only_correct_rate,both_wrong_rate,either_model_correct_rate,a10_net_correct_rate_advantage,error_overlap_jaccard
CAID2,disorder_pdb,protein_length,201-500,105,A10-locked,LoRA-DR-Suite 650M,27110,0.9033133349322194,0.8672282328762845,0.11510483101883733,2078,0.0766506824050166,23432,1578,500,1600,0.8643305053485799,0.05820730357801549,0.018443378827001106,0.05901881224640354,0.9409811877535964,0.03976392475101439,0.43501903208265363
CAID2,disorder_pdb,protein_length,201-500,105,A10-locked,PUNCH2-Light Paper-8,27110,0.9137840461022821,0.8728865385504124,0.1275627196534736,2046,0.07547030616008853,23552,1458,588,1512,0.8687569162670601,0.05378089265953523,0.0216894135005533,0.055772777572851345,0.9442272224271486,0.032091479158981924,0.42495784148397975
CAID2,disorder_pdb,protein_length,201-500,105,A10-locked,PUNCH2-Light Released-13,27110,0.9302786349083434,0.8791818977319453,0.10797575034891295,1862,0.06868314275175212,23758,1252,610,1490,0.8763555883437846,0.04618222058281077,0.02250092216894135,0.0549612689044633,0.9450387310955367,0.02368129841386942,0.4445107398568019
CAID2,disorder_pdb,protein_length,1001+,86,A10-locked,LoRA-DR-Suite 650M,53700,0.7370203035400512,0.7873591698245902,0.1364680448966497,6883,0.12817504655493484,44346,5287,1596,2471,0.8258100558659218,0.09845437616387337,0.02972067039106145,0.04601489757914339,0.9539851024208567,0.06873370577281192,0.2641650630746205
CAID2,disorder_pdb,protein_length,1001+,86,A10-locked,PUNCH2-Light Paper-8,53700,0.8962978526441107,0.756273775851061,0.09266194194681472,2872,0.05348230912476722,48101,1532,1340,2727,0.8957355679702048,0.028528864059590316,0.02495344506517691,0.050782122905027934,0.9492178770949721,0.003575418994413408,0.48705125915342024
CAID2,disorder_pdb,protein_length,1001+,86,A10-locked,PUNCH2-Light Released-13,53700,0.9045264942405112,0.7456738136448224,0.08563287769089852,2675,0.04981378026070764,48285,1348,1327,2740,0.8991620111731844,0.0251024208566108,0.024711359404096835,0.05102420856610801,0.948975791433892,0.00039106145251396646,0.5060018467220684
CAID2,disorder_pdb,protein_length,501-1000,112,A10-locked,LoRA-DR-Suite 650M,45032,0.8371918116282014,0.8143380937359678,0.14015190862527493,5010,0.11125421922188666,37856,3985,1025,2166,0.8406466512702079,0.08849262746491383,0.02276159175697282,0.04809912950790549,0.9519008704920945,0.06573103570794102,0.30183946488294316
CAID2,disorder_pdb,protein_length,501-1000,112,A10-locked,PUNCH2-Light Paper-8,45032,0.929383593078366,0.855439005577477,0.10830977527553562,2401,0.05331764078877243,40566,1275,1126,2065,0.9008260792325458,0.028313199502575947,0.025004441286196482,0.04585627997868182,0.9541437200213182,0.0033087582163794636,0.46238244514106586
CAID2,disorder_pdb,protein_length,501-1000,112,A10-locked,PUNCH2-Light Released-13,45032,0.9424714779068966,0.857674306949555,0.0925080592302003,2030,0.045079054894297386,40776,1065,965,2226,0.9054894297388524,0.023649848996269318,0.02142920589802807,0.04943151536685024,0.9505684846331498,0.0022206430982412506,0.5230263157894737
CAID2,disorder_pdb,protein_length,1-200,45,A10-locked,LoRA-DR-Suite 650M,5035,0.8343201190593211,0.8766367169534868,0.14542585686298115,919,0.18252234359483616,3823,672,247,293,0.7592850049652433,0.13346573982125123,0.04905660377358491,0.058192651439920556,0.9418073485600794,0.08440913604766634,0.24174917491749176
CAID2,disorder_pdb,protein_length,1-200,45,A10-locked,PUNCH2-Light Paper-8,5035,0.8266129161844193,0.892720027918504,0.2216867432614975,838,0.16643495531281033,3834,661,177,363,0.7614697120158888,0.13128103277060577,0.03515392254220457,0.07209533267130089,0.9279046673286991,0.09612711022840119,0.302248126561199
CAID2,disorder_pdb,protein_length,1-200,45,A10-locked,PUNCH2-Light Released-13,5035,0.8467495169771816,0.8954113081847838,0.1992387284907289,760,0.1509433962264151,3914,581,179,361,0.7773584905660378,0.1153922542204568,0.03555114200595829,0.07169811320754717,0.9283018867924528,0.07984111221449851,0.3220338983050847
CAID2,disorder_pdb,known_label_disorder_fraction,"(0.60,1.00]",119,A10-locked,LoRA-DR-Suite 650M,27817,0.5978550681447707,0.3227009944639241,0.2622172079545044,7059,0.2537656828558076,19169,6653,406,1589,0.6891109753028724,0.23917029154833375,0.014595391307473848,0.057123341841320056,0.9428766581586799,0.2245749002408599,0.18374190564292323
CAID2,disorder_pdb,known_label_disorder_fraction,"(0.60,1.00]",119,A10-locked,PUNCH2-Light Paper-8,27817,0.7870500498338748,0.7685112077132883,0.2266164197909976,2930,0.10533127224359205,23145,2677,253,1742,0.8320451522450301,0.09623611460617608,0.009095157637415969,0.06262357551137794,0.937376424488622,0.0871409569687601,0.3728595890410959
CAID2,disorder_pdb,known_label_disorder_fraction,"(0.60,1.00]",119,A10-locked,PUNCH2-Light Released-13,27817,0.8321598521709107,0.793259093614931,0.1784072745928303,2380,0.08555919042312254,23647,2175,205,1790,0.8500916705611676,0.07818959629003847,0.0073695941330840856,0.06434913901570982,0.9356508609842902,0.07082000215695439,0.4292565947242206
CAID2,disorder_pdb,known_label_disorder_fraction,"(0.10,0.30]",94,A10-locked,LoRA-DR-Suite 650M,35118,0.7921615095164684,0.7526536616025755,0.114486639008349,3234,0.09208952673842474,29602,2093,1141,2282,0.8429295517967994,0.05959906600603679,0.03249046073238795,0.0649809214647759,0.9350190785352241,0.02710860527364884,0.4137055837563452
CAID2,disorder_pdb,known_label_disorder_fraction,"(0.10,0.30]",94,A10-locked,PUNCH2-Light Paper-8,35118,0.8721316831120413,0.7554842930261764,0.09110830894162766,2305,0.06563585625605103,30627,1068,1237,2186,0.872116863147104,0.030411754655732103,0.03522410160031893,0.06224728059684492,0.9377527194031551,-0.004812346944586821,0.48675128033845466
