dataset,track,stratification,stratum,model,proteins,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID2,disorder_pdb,distance_to_nearest_observed_transition,3-5,PUNCH2-Light Paper-8,235,3026,1506,1520,0.4976867151354924,0.25454244571751483,-0.24314426941797757,0.27761509122161143,0.3895016305215466,0.9024400585848382,0.3747521480502313,0.4873417721518988,0.29322293588820575,539,1353,167,967,0.7474217166422031,0.7333554798365968,0.7335830799882304,0.7169811320754716
CAID2,disorder_pdb,distance_to_nearest_observed_transition,3-5,PUNCH2-Light Released-13,235,3026,1506,1520,0.4976867151354924,0.2789296696216788,-0.21875704551381359,0.2624240368776406,0.3723708927712492,0.8577784635928467,0.35095836087243887,0.5386620330147698,0.33602070821377766,620,1344,176,886,0.7626651289578528,0.7458067625958004,0.74604860832992,0.7330748583358188
CAID2,disorder_pdb,distance_to_nearest_observed_transition,6-15,A10-locked,235,7833,3092,4741,0.3947402017107111,0.3889060365639219,-0.005834165146789194,0.1474951644529974,0.22934794608614323,0.5112820316266078,0.19175284054640623,0.7467970330411329,0.5943278658616789,2215,4116,625,877,0.8577351094591155,0.8227992018671715,0.8229514042431378,0.749959540378702
CAID2,disorder_pdb,distance_to_nearest_observed_transition,6-15,LoRA-DR-Suite 650M,235,7833,3092,4741,0.3947402017107111,0.34058139189395764,-0.05415880981675347,0.15376656706300043,0.27404178585753225,0.4787961926582662,0.21690284692965658,0.6993452486285613,0.5378761677911621,1976,4158,583,1116,0.858728617141541,0.7751311355031705,0.7751090966549677,0.7541823662396382
CAID2,disorder_pdb,distance_to_nearest_observed_transition,6-15,PUNCH2-Light Paper-8,235,7833,3092,4741,0.3947402017107111,0.263633125502681,-0.13110707620803014,0.1590790171329306,0.2535494880210264,0.5291579743731127,0.20579599131877951,0.6922489499809088,0.5656443991388346,1813,4408,333,1279,0.8734741634793561,0.8388918783122765,0.838921625223508,0.7481525273425954
CAID2,disorder_pdb,distance_to_nearest_observed_transition,6-15,PUNCH2-Light Released-13,235,7833,3092,4741,0.3947402017107111,0.28507725702469044,-0.10966294468602067,0.14983876552870332,0.23837218734155496,0.5018834573493504,0.19481680071492405,0.7156168468132688,0.5882799140107484,1920,4387,354,1172,0.8810470332157914,0.8471839969318353,0.8472130145551576,0.7638539042821159
CAID3,disorder_nox,distance_to_nearest_observed_transition,0-2,A10-locked,174,2126,1065,1061,0.5009407337723424,0.6007831302470508,0.09984239647470838,0.36047080440653334,0.4640959879587253,1.3225068768249229,0.45672624647224835,0.5866326096211154,0.0880811034514588,689,466,595,376,0.5548207245357157,0.5416512598254347,0.5423365879156358,0.6691823899371069
CAID3,disorder_nox,distance_to_nearest_observed_transition,0-2,LoRA-DR-Suite 650M,174,2126,1065,1061,0.5009407337723424,0.465770538527874,-0.035170195244468405,0.33130619252467336,0.46491332644085603,1.044580246988838,0.458137347130762,0.5285575992255566,0.0839781544340014,546,606,455,519,0.5621191806825875,0.5392753552340865,0.5402812284089726,0.6704907584448694
CAID3,disorder_nox,distance_to_nearest_observed_transition,0-2,PUNCH2-Light Paper-8,174,2126,1065,1061,0.5009407337723424,0.35356900504016936,-0.14737172873217302,0.3390364012740958,0.46767020930686737,1.0953405302229595,0.46801505174035746,0.4511858797573084,0.06756208137623292,409,722,339,656,0.5710362710349435,0.5428013708180188,0.5434860387051011,0.6708780795957043
CAID3,disorder_nox,distance_to_nearest_observed_transition,0-2,PUNCH2-Light Released-13,174,2126,1065,1061,0.5009407337723424,0.38282059720597367,-0.11812013656636872,0.34075226629333005,0.46335900672808095,1.106605830617061,0.4543744120413923,0.4867162592986185,0.09424514434694262,458,702,359,607,0.5737098051709566,0.5404483149868701,0.541473217260979,0.6704581358609795
CAID3,disorder_nox,distance_to_nearest_observed_transition,16+,A10-locked,174,80672,15130,65542,0.18754958349861167,0.46995304362222756,0.2824034601236159,0.25415085717846625,0.30604290802300993,1.1947299467796022,0.28063020626735424,0.5595268206315543,0.4837010506744719,14379,43654,21888,751,0.8686383970416349,0.522380627596552,0.5224574007530586,0.6019106091498477
CAID3,disorder_nox,distance_to_nearest_observed_transition,16+,LoRA-DR-Suite 650M,174,80672,15130,65542,0.18754958349861167,0.33537119417154376,0.1478216106729321,0.15420390454349897,0.2547118625852264,0.4762178891595449,0.21384123363744545,0.5701328150307743,0.4635783113179907,11440,51981,13561,3690,0.862586495951406,0.5894373499941786,0.5894264342127724,0.5831675181500403
